created_at,id,lang,text,user,source,hashtags,url
Fri Feb 23 23:24:27 +0000 2018,967178369094762496,en,RT @USANAinc: You skin will thank you if you eat these 22 healthy foods... https://t.co/sAkB5OrlEG #Skincare #Health #HealthyFood #WinterSk…,dollAmy,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Skincare', 'Health', 'HealthyFood']","[URL(URL=https://t.co/sAkB5OrlEG, ExpandedURL=http://ow.ly/PZTd30ixEcf)]"
Fri Feb 23 23:24:23 +0000 2018,967178352670007297,und,"RT @njvivphp: @timesunion #NYSPHSAA #WrestlingStateChampionships 
#Purium #Wrestling 
#Health https://t.co/OSBwMG3nuO",ZackCarpinello,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['NYSPHSAA', 'WrestlingStateChampionships', 'Purium', 'Wrestling', 'Health']",[]
Fri Feb 23 23:24:22 +0000 2018,967178348848967681,en,#health #beauty Buy Now: $40 BRAND NEW - 3 MORPHE Makeup Setting Mist CONTINUOUS SETTING MIST… https://t.co/BzsAOl0AHZ,health_anbeauty,"<a href=""https://www.postpilot.net/twitterapps/autotweetpal/"" rel=""nofollow"">AutoTweetPal</a>","['health', 'beauty']","[URL(URL=https://t.co/BzsAOl0AHZ, ExpandedURL=https://twitter.com/i/web/status/967178348848967681)]"
Fri Feb 23 23:24:14 +0000 2018,967178314153627648,en,RT @StayYoungMedia: Alzheimer's detected in the eye? https://t.co/dxuAvOQZ6I #health #wellness #alzheimers,drwoyce24,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'wellness', 'alzheimers']","[URL(URL=https://t.co/dxuAvOQZ6I, ExpandedURL=http://traffic.libsyn.com/stayingyoung2/308.mp3)]"
Fri Feb 23 23:24:11 +0000 2018,967178302585786369,en,"RT @jointeamwell: The #WELL platform aspires to bring #health and wellness to our patients and the less fortunate, who we strive to help vi…",golfbit,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['WELL', 'health']",[]
Fri Feb 23 23:24:00 +0000 2018,967178256599437312,en,We want to provide you with a more proactive approach to #health: https://t.co/qMcvb5gum3 https://t.co/w2PEaCuwvr,ElysiumHQ,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",['health'],"[URL(URL=https://t.co/qMcvb5gum3, ExpandedURL=http://ely.sm/2lHuw2o)]"
Fri Feb 23 23:23:53 +0000 2018,967178227407048704,en,"An extra floss goes a long way!
https://t.co/XbcgmTLrGf  #teeth #health #smile #dentist https://t.co/A9tozUw8JX",Forestside_DP,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['teeth', 'health', 'smile', 'dentist']","[URL(URL=https://t.co/XbcgmTLrGf, ExpandedURL=http://ow.ly/w23C30iAv4f)]"
Fri Feb 23 23:23:49 +0000 2018,967178212232003585,en,"RT @iboxcustomise: Natural Progression Boxing Academy, Stockton-on-Tees. 

A World Class Facility 🔥

#Boxing #MMA #UFC #Fitness #Health #Gy…",CharityMSH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['Boxing', 'MMA', 'UFC', 'Fitness', 'Health']",[]
Fri Feb 23 23:23:43 +0000 2018,967178185128529922,und,https://t.co/9vYIOt7Qs0            #personaltrainer #personaltraining #powerplate #studio #gym #health… https://t.co/dQHn8RLbxC,powerplatemiami,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['personaltrainer', 'personaltraining', 'powerplate', 'studio', 'gym', 'health']","[URL(URL=https://t.co/9vYIOt7Qs0, ExpandedURL=http://www.streamlinevibrations.com), URL(URL=https://t.co/dQHn8RLbxC, ExpandedURL=https://twitter.com/i/web/status/967178185128529922)]"
Fri Feb 23 23:23:34 +0000 2018,967178149074055169,en,RT @LenaLSL: #web based #Solutions and #POC #Devices for #population #health #management #antimicrobials2018 @NSchellack @AusAntibiotics ht…,NSchellack,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['web', 'Solutions', 'POC', 'Devices', 'population', 'health', 'management', 'antimicrobials2018']",[]
