List,Confidence,Interest,Conv
['fitness'],0.3468347454708273,0.02318664359342465,0.9645011068291769
['workout'],0.4125981826582473,0.042576793593995355,1.072483251391141
['fit'],0.522294284556141,0.15227289549188905,1.318758789290191
['beauty'],0.590390002154708,0.22036861309045608,1.5379961774607085
['gym'],0.2615277130880298,0.10849367597622217,0.8530836188451915
['weightloss'],0.6069421487603306,0.23692075969607862,1.6027630766027232
['food'],0.3796965317919075,0.009675142727655517,1.0155974345195984
['wellness'],0.814595660749507,0.444574271685255,3.397863358983238
['diet'],0.4506276150627615,0.08060622599850953,1.146724204216632
['lifestyle'],0.6510339734121122,0.28101258434786025,1.8052720406497413
['yoga'],0.530940594059406,0.160919204995154,1.3430678565595895
['healthy'],0.43573551263001487,0.0657141235657629,1.1164597897557826
['motivation'],0.3001049317943337,0.0699164572699183,0.9001043721465785
['exercise'],0.46471088435374147,0.0946894952894895,1.1768941166964888
['nutrition'],0.6913700633837152,0.32134867431946323,2.0412103175817045
['fitfam'],0.18239795918367346,0.1876234298805785,0.7705198611133018
['bodybuilding'],0.38852242744063326,0.018501038376381285,1.0302562828248047
['love'],0.2856159669649002,0.08440542209935176,0.8818486721480172
['running'],0.5951875442321303,0.2251661551678783,1.5562233868045665
['training'],0.2955433932759969,0.07447799578825509,0.8942759638033537
['sport'],0.04354587869362364,0.32647551037062833,0.6586605639539609
['fitnessmotivation'],0.17965367965367965,0.19036770941057232,0.7679422645179831
['fitspo'],0.6127622377622378,0.24274084869798584,1.6268522142449116
['healthcare'],0.6297335203366059,0.25971213127235393,1.701419506049956
['life'],0.4120762711864407,0.04205488212218872,1.0715311868889121
['nature'],0.7272727272727273,0.3572513382084753,2.309921573431076
['fashion'],0.06321839080459771,0.3068029982596543,0.672492504925277
['travel'],0.3848396501457726,0.014818261081520623,1.024088452848159
['fitnessmodel'],0.6421370967741935,0.27211570770994153,1.760390935347217
['science'],0.9552715654952076,0.5852501764309557,14.08452180163493
['wellbeing'],0.8466183574879227,0.4765969684236707,4.10726212484094
['goals'],0.3827993254637437,0.012777936399491707,1.0207030499587393
['wealth'],0.6974169741697417,0.3273955851054897,2.082002482482777
['news'],0.44028520499108736,0.0702638159268354,1.1255350341877537
['organic'],0.4987951807228916,0.1287737916586396,1.2569284785496897
['fitnessaddict'],0.6737766624843162,0.30375527342006425,1.9311267419838125
['inspiration'],0.3287435456110155,0.041277843453236485,0.9385065973171015
['bench'],0.0,0.37002138906425197,0.629978610935748
['healthyliving'],0.6849894291754757,0.3149680401112237,1.9998649863933478
['run'],0.6597222222222222,0.28970083315797024,1.8513657137703614
['success'],0.5969696969696969,0.22694830790544496,1.563104824126292
['vegan'],0.5666003976143141,0.19657900855006216,1.4535745013792718
['healthylifestyle'],0.4623493975903614,0.09232800852610945,1.1717249234211111
['hiking'],0.03571428571428571,0.3343071033499663,0.6533111520815165
['crossfit'],0.06462585034013606,0.3053955387241159,0.673504405873127
['cardio'],0.4448979591836735,0.0748765701194215,1.1348879388180755
['gymlife'],0.12335526315789473,0.24666612590635723,0.7186247569398401
['vitamins'],0.635593220338983,0.26557183127473105,1.7287785137306573
['muscle'],0.17038216560509553,0.19963922345915644,0.7593600147171781
['mountains'],0.14285714285714285,0.22716424620710912,0.7349750460917059
