created_at,id,text,user,source,hashtags
Wed Feb 28 11:50:05 +0000 2018,968815564696227840,"RT @MinaANDMaya: Elderly man lovingly gets senior #dog ready for rainy journey. 🐕💞 If #COMPASSION was the driver behind all our actions, wo…",supper_b,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['dog', 'COMPASSION']"
Wed Feb 28 11:49:15 +0000 2018,968815356818219008,#Evolve already! There’s absolutely NO NEED for #abhorrent #deviant maltreatment of #animals in 2018! It shouldn’t… https://t.co/4miJV11JzD,karen1_mc,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","['Evolve', 'abhorrent', 'deviant', 'animals']"
Wed Feb 28 11:47:38 +0000 2018,968814951170224128,"What would happen if an #accident or #illness prevented you from working? For most of us, our lifestyle is dependen… https://t.co/qbRHubjv54",StemProAdvisor,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['accident', 'illness']"
Wed Feb 28 11:45:37 +0000 2018,968814443944488960,RT @MelissWeb: Plans almost finished for an exciting week @KEY103 kicking off our week is the wonderful @amandasuper #Compassion #kindness…,drpeterkirby,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Compassion', 'kindness']"
Wed Feb 28 11:45:00 +0000 2018,968814288440840193,9 Ways Having #Compassion For Animals Improves Your #Health https://t.co/jEccDhTrTj via @matt_kay #love #stress #getoutsideyourself,MelissaRapoport,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","['Compassion', 'Health', 'love', 'stress', 'getoutsideyourself']"
Wed Feb 28 11:42:16 +0000 2018,968813600386224128,"RT @MinaANDMaya: Elderly man lovingly gets senior #dog ready for rainy journey. 🐕💞 If #COMPASSION was the driver behind all our actions, wo…",elenadeblikova,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['dog', 'COMPASSION']"
Wed Feb 28 11:41:55 +0000 2018,968813513224355841,"Without disability insurance,  savings and investments are quickly depleted.  #DI #newday #goodmorning… https://t.co/ZJYEQWDMeW",StemProAdvisor,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['DI', 'newday', 'goodmorning']"
Wed Feb 28 11:41:23 +0000 2018,968813376125116417,"RT @MinaANDMaya: Elderly man lovingly gets senior #dog ready for rainy journey. 🐕💞 If #COMPASSION was the driver behind all our actions, wo…",itisnotting,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['dog', 'COMPASSION']"
Wed Feb 28 11:40:22 +0000 2018,968813122432757760,"RT @PrachiMalik: #Wisdom #Compassion 
#Courage #Virtue 
#TuesdayThoughts 
#JoyTrain @KariJoys @mindfulheal @gary_hensel @arunbhar @eldiablo…",123_4Access,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Wisdom', 'Compassion', 'Courage', 'Virtue', 'TuesdayThoughts', 'JoyTrain']"
Wed Feb 28 11:39:36 +0000 2018,968812927108214789,RT @manongruaz: @SamB418 #compassion https://t.co/fYKie7joNJ,SamB418,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",['compassion']
Wed Feb 28 11:39:29 +0000 2018,968812899534884866,"RT @MinaANDMaya: Elderly man lovingly gets senior #dog ready for rainy journey. 🐕💞 If #COMPASSION was the driver behind all our actions, wo…",vero_jovi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['dog', 'COMPASSION']"
Wed Feb 28 11:38:56 +0000 2018,968812762414632960,Disability insurance provides you with replacement income due to injury or illness. #DI #newday #goodmorning… https://t.co/gtm23eftu5,StemProAdvisor,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['DI', 'newday', 'goodmorning']"
Wed Feb 28 11:38:56 +0000 2018,968812762414632960,Disability insurance provides you with replacement income due to injury or illness. #DI #newday #goodmorning… https://t.co/gtm23eftu5,StemProAdvisor,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['DI', 'newday', 'goodmorning']"
Wed Feb 28 11:34:12 +0000 2018,968811570712096768,"RT @MinaANDMaya: Elderly man lovingly gets senior #dog ready for rainy journey. 🐕💞 If #COMPASSION was the driver behind all our actions, wo…",Hchika,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['dog', 'COMPASSION']"
Wed Feb 28 11:27:18 +0000 2018,968809831845920768,"RT @MinaANDMaya: Elderly man lovingly gets senior #dog ready for rainy journey. 🐕💞 If #COMPASSION was the driver behind all our actions, wo…",snailrazer,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['dog', 'COMPASSION']"
Wed Feb 28 11:27:06 +0000 2018,968809781711564800,RT @animal_lobbyist: Thanks to @CrueltyFreeUSA for their leadership on these and other important bills! #CrueltyFree #compassion https://t.…,Wasim05051985,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['CrueltyFree', 'compassion']"
Wed Feb 28 11:26:50 +0000 2018,968809716238270464,@TonyForTrump1 @FoxNews #compassion 👍🏻,nicholeskeen,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",['compassion']
Wed Feb 28 11:25:07 +0000 2018,968809285248520192,@medevidenceblog @DrDaleNeedham I had severe #delirium in #ICU so much more to do. Pt experience is vital. Noises c… https://t.co/tx6MLDqG3A,psychutch,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['delirium', 'ICU']"
Wed Feb 28 11:24:08 +0000 2018,968809035326676993,RT @pkamla1: #purelove is #PureMagic #compassion #helpingothers @gary_hensel    @garyhgoodridge  @BabyGo2014 @HealingMB @mindfulheal @rambl…,swabina,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['purelove', 'PureMagic', 'compassion', 'helpingothers']"
Wed Feb 28 11:20:55 +0000 2018,968808224987197441,"RT @DrDeniseMD: “We make a living by what we get, but we make a life by what we give.” Winston Churchill #service #love #compassion #Giving…",SidratKarimova,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['service', 'love', 'compassion', 'Giving']"
Wed Feb 28 11:20:19 +0000 2018,968808077511229450,"Let's Show True #Compassion, Not Pity - https://t.co/WSzCv6zaYp
#Blog by #WUVIP #WUWorldChanger @Islandfrauen https://t.co/00eDXyBP63",_PositivePosts_,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","['Compassion', 'Blog', 'WUVIP', 'WUWorldChanger']"
Wed Feb 28 11:20:19 +0000 2018,968808075967844354,"Let's Show True #Compassion, Not Pity - https://t.co/7VtnuJHXTD
#Blog by #WUVIP #WUWorldChanger @Islandfrauen https://t.co/9GcnhRg3Kc",TheWellnessUniv,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","['Compassion', 'Blog', 'WUVIP', 'WUWorldChanger']"
Wed Feb 28 11:20:14 +0000 2018,968808056493658112,"Let's Show True #Compassion, Not Pity - https://t.co/SAMLtxLhdk
#Blog by #WUVIP #WUWorldChanger @Islandfrauen https://t.co/cYeF0kUP9f",ShariAlyse,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","['Compassion', 'Blog', 'WUVIP', 'WUWorldChanger']"
Wed Feb 28 11:20:14 +0000 2018,968808055034007552,"Let's Show True #Compassion, Not Pity - https://t.co/kW5mT5yX8v
#Blog by #WUVIP #WUWorldChanger @Islandfrauen https://t.co/OP0UaEhI2r",AnnaPereiraDesi,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","['Compassion', 'Blog', 'WUVIP', 'WUWorldChanger']"
Wed Feb 28 11:20:14 +0000 2018,968808054543278080,"Let's Show True #Compassion, Not Pity - https://t.co/N9YVVFcobc
#Blog by #WUVIP #WUWorldChanger @Islandfrauen https://t.co/Db0WsnhOLp",KimLLP,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","['Compassion', 'Blog', 'WUVIP', 'WUWorldChanger']"
Wed Feb 28 11:20:13 +0000 2018,968808051573653505,"Let's Show True #Compassion, Not Pity - https://t.co/zCFinQbHb9
#Blog by #WUVIP #WUWorldChanger @Islandfrauen https://t.co/IYrPKzaPdE",_Ashley_Brewer,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","['Compassion', 'Blog', 'WUVIP', 'WUWorldChanger']"
