created_at,id,lang,text,user,source,hashtags,url
Wed Feb 21 22:10:38 +0000 2018,966435017525284867,en,Please RT #health #fitness 10 Healthy &amp; Delicious Thanksgiving Sides https://t.co/RUNEU4JY72 https://t.co/hLdttUiJSD,healthyyfi,"<a href=""https://www.healthyyfi.com"" rel=""nofollow"">healthyyfi</a>","[Hashtag(Text='health'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/RUNEU4JY72, ExpandedURL=http://tinyurl.com/hq6d7nv)]"
Wed Feb 21 22:10:36 +0000 2018,966435009220444161,en,Please RT #health #fitness No wonder food labels are so hard to read https://t.co/k1cfveUxF1,feelhealthyy,"<a href=""https://www.feelhealthyy.com"" rel=""nofollow"">feelhealthyy</a>","[Hashtag(Text='health'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/k1cfveUxF1, ExpandedURL=http://bit.ly/2jKnR6M)]"
Wed Feb 21 22:10:35 +0000 2018,966435005848223744,en,Please RT #health #fitness Very Veggie Vegan Pizza https://t.co/FA4gJxUUbO https://t.co/Fl1i7NX3kx,HealthhFitnss,"<a href=""https://laquesea.com"" rel=""nofollow"">HealthhFitnss</a>","[Hashtag(Text='health'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/FA4gJxUUbO, ExpandedURL=http://bit.ly/2nV3doY)]"
Wed Feb 21 22:10:30 +0000 2018,966434985547714561,en,10 Minute (Full Body) Bodyweight Circuit Workout https://t.co/1QY1tQXn4g #Fitness #Exercise #Nutrition #Health,Coach_rt3,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","[Hashtag(Text='Fitness'), Hashtag(Text='Exercise'), Hashtag(Text='Nutrition'), Hashtag(Text='Health')]","[URL(URL=https://t.co/1QY1tQXn4g, ExpandedURL=https://is.gd/aDt4K7)]"
Wed Feb 21 22:10:30 +0000 2018,966434984285409280,en,Please RT #health #fitness GGS Spotlight: Dr. Lisa Lewis https://t.co/qzcxFLsvRI https://t.co/DFNt7xQwP1,FitnesssAmazing,"<a href=""https://laquesea.com"" rel=""nofollow"">FitnesssAmazing</a>","[Hashtag(Text='health'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/qzcxFLsvRI, ExpandedURL=http://bit.ly/2mMlbGL)]"
Wed Feb 21 22:10:27 +0000 2018,966434972444909569,en,Please RT #health #fitness Clever food industry ploy: look-alike snacks https://t.co/4nF8rEyHRB https://t.co/5htKICEgZg,fitttLifee,"<a href=""https://laquesea.com"" rel=""nofollow"">fitttLifee</a>","[Hashtag(Text='health'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/4nF8rEyHRB, ExpandedURL=http://tinyurl.com/gmhg38p)]"
Wed Feb 21 22:10:24 +0000 2018,966434960797249537,en,Please RT #health #fitness Roasted Brussels Sprouts with Pomegranate Recipe https://t.co/5noJPOUihE,HealthhyLifee,"<a href=""https://laquesea.com"" rel=""nofollow"">HealthhyLifee</a>","[Hashtag(Text='health'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/5noJPOUihE, ExpandedURL=http://bit.ly/2qlzmrC)]"
Wed Feb 21 22:10:24 +0000 2018,966434957760413696,en,Please RT #health #fitness Why I Love Being Big https://t.co/TZcJGYVj75 https://t.co/GCDOiI0238,thehealthinsigh,"<a href=""http://healthfitnesstrends.net"" rel=""nofollow"">tweets healthfitnesstrends.net</a>","[Hashtag(Text='health'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/TZcJGYVj75, ExpandedURL=http://tinyurl.com/hj76atj)]"
Wed Feb 21 22:10:23 +0000 2018,966434956036755459,en,Yoga is not just for women. How men can benefit from practicing yoga #health #menshealth #yoga… https://t.co/qQ9ZWnXshz,renascencemusic,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","[Hashtag(Text='health'), Hashtag(Text='menshealth'), Hashtag(Text='yoga')]","[URL(URL=https://t.co/qQ9ZWnXshz, ExpandedURL=https://twitter.com/i/web/status/966434956036755459)]"
Wed Feb 21 22:10:20 +0000 2018,966434942036082688,en,Sport Berkey water filter review. Great survival tool and great for everyday use.  https://t.co/0WFUuWB9Uy #health… https://t.co/4GAmffYv19,berkey_filters,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/0WFUuWB9Uy, ExpandedURL=http://www.berkeycleanwater.com/sport-berkey-water-filter-review/), URL(URL=https://t.co/4GAmffYv19, ExpandedURL=https://twitter.com/i/web/status/966434942036082688)]"
Wed Feb 21 22:10:11 +0000 2018,966434905910595590,en,Samsung #Health: The ultimate guide to getting fit with Samsung's app https://t.co/WvzKCREyWX #fitness,yogibanker1,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","[Hashtag(Text='Health'), Hashtag(Text='fitness')]","[URL(URL=https://t.co/WvzKCREyWX, ExpandedURL=http://crwd.fr/2Bz9gWr)]"
Wed Feb 21 22:10:11 +0000 2018,966434905495351296,en,And a @businessinsider article from last year about how sitting all day is destroying your #health:… https://t.co/kIEuXNc41h,elvia_francis,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[Hashtag(Text='health')],"[URL(URL=https://t.co/kIEuXNc41h, ExpandedURL=https://twitter.com/i/web/status/966434905495351296)]"
Wed Feb 21 22:10:11 +0000 2018,966434904941703168,und,RT @_eatingyoualive: #Health #FathomEvent #EatingYouAlive #WFPB #Vegan #FoodIsMedicine #ReverseChronicDisease https://t.co/m3eIKkwaAE,EHFoundation237,"<a href=""http://www.mywebsite.com"" rel=""nofollow""> Ethereal Heart</a>","[Hashtag(Text='Health'), Hashtag(Text='FathomEvent'), Hashtag(Text='EatingYouAlive'), Hashtag(Text='WFPB'), Hashtag(Text='Vegan'), Hashtag(Text='FoodIsMedicine'), Hashtag(Text='ReverseChronicDisease')]","[URL(URL=https://t.co/m3eIKkwaAE, ExpandedURL=https://www.youtube.com/watch?v=CQIpBH-nf_4&feature=youtu.be)]"
