created_at,id,text,user,source,hashtags
Sat Mar 03 20:00:56 +0000 2018,970026258548576257,How to Stop Snoring Using Natural Remedies | Stop Snoring Tips to a Better Health https://t.co/5YBZi97fMU #snoring… https://t.co/extqjprgY6,greatfindshub,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",['snoring']
Sat Mar 03 20:00:56 +0000 2018,970026256736669696,"STEP 4 : INCREASE THE FLOW

“Find your diaphragmatic breathing under pressure”.

(PRE STEP TO MORE POWER AND STABIL… https://t.co/jq8debhGFe",LeeBrandonInc,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[]
Sat Mar 03 20:00:54 +0000 2018,970026248209563650,"If it’s not being supported by evidence, then it’s nothing more than a hoax. @zyanamorris #health https://t.co/bT7ykPnvIM",docweighsin,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",['health']
Sat Mar 03 20:00:54 +0000 2018,970026247089807363,"If it’s not being supported by evidence, then it’s nothing more than a hoax. @zyanamorris #health https://t.co/1Vb7js4Fcw",DovMichaeli,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",['health']
Sat Mar 03 20:00:51 +0000 2018,970026236671090689,9 SIMPLE ways to improve your #gut #health https://t.co/PUtyJmadHq,thehealthguy,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['gut', 'health']"
Sat Mar 03 20:00:50 +0000 2018,970026232724279296,Best Fat Sources for Raw Vegans https://t.co/f8X3hkezms #vegan #freelancewriter #health,apothecary21c,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['vegan', 'freelancewriter', 'health']"
Sat Mar 03 20:00:50 +0000 2018,970026232170639361,RT @HHydroponics: Homegrown Expo https://t.co/VxMXd9Sea1  #hydroponics #health #MedicalCannabis #hydroponicsexpo #grow #cannabis tomorrow 1…,CanadianWeedWiz,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['hydroponics', 'health', 'MedicalCannabis', 'hydroponicsexpo', 'grow', 'cannabis']"
Sat Mar 03 20:00:44 +0000 2018,970026207373922305,Emily Nagosky is unbelievable...and she will presenting at the Sexuality and Relationships in Athens. I am so proud… https://t.co/DTUM7Uzscz,ISCInternation1,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>",[]
Sat Mar 03 20:00:44 +0000 2018,970026206845431808,"Drink #matcha much? It has 10 times the #antioxidants of regular #greentea, and some recent studies have even shown… https://t.co/v4cvRWxxm0",dirkfit,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['matcha', 'antioxidants', 'greentea']"
Sat Mar 03 20:00:43 +0000 2018,970026202793639943,"The best new fitness classes and trends to try in 2018

#healthy #weightloss #loseweight #diet #health #workout… https://t.co/H7rXDNBkYl",WeightLoss_ios,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","['healthy', 'weightloss', 'loseweight', 'diet', 'health', 'workout']"
Sat Mar 03 20:00:42 +0000 2018,970026197538263041,"Walking For Diabetes, Depression, Insomnia and More: https://t.co/VbLpwZhgdG #diabetes #insomnia #health #wellness… https://t.co/PWTCT0jhqZ",RawlsMD,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['diabetes', 'insomnia', 'health', 'wellness']"
Sat Mar 03 20:00:41 +0000 2018,970026195990601733,McCann Health Breaks Guinness World Record &amp; Saves Lives #health https://t.co/zqj3JFPmyW - get content from: https://t.co/bj3tlMhfNy,RawPassionUK,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>",['health']
Sat Mar 03 20:00:41 +0000 2018,970026192492552192,"WE LOVE THIS RESULTS! 

#loseweight #love #follow #food #burnfat #losefat #weightlossdiary #fitnessgoals #goals… https://t.co/ylMsKfnwlP",terriann7day,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","['loseweight', 'love', 'follow', 'food', 'burnfat', 'losefat', 'weightlossdiary', 'fitnessgoals', 'goals']"
Sat Mar 03 20:00:40 +0000 2018,970026190827393024,Kevin Smith Tweets About ‘Massive Heart Attack’ and Treatment #health https://t.co/NdB13tObYE - 🚀 Grow your followe… https://t.co/V8wpd4wAeD,deeds6969,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>",['health']
Sat Mar 03 20:00:38 +0000 2018,970026182023491584,"Dear Wellesbourne Patients #Health News from the USA Medical News Today: Top seven safe, effective natural antibiot… https://t.co/KPhT8LO9a8",WellesbourneGPs,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",['Health']
