created_at,id,text,user,source,hashtags
Mon Mar 05 23:27:47 +0000 2018,970803088008282112,"Smoothie prep🍏🍌🍊🍇🍉🍊🍋🍍 

Video coming soon 

#healthy #healthyfood #health #healthylifestyle… https://t.co/9AEe8T2MJJ",Love_Jawhara,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['healthy', 'healthyfood', 'health', 'healthylifestyle']"
Mon Mar 05 23:27:42 +0000 2018,970803065212325888,❤️ #health #mentalhealth #mentalhealthawarness #toptags  #mentalhealthmatters #mentalhealthday… https://t.co/xbUi6Dsmf0,DominguezPili,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['health', 'mentalhealth', 'mentalhealthawarness', 'toptags', 'mentalhealthmatters', 'mentalhealthday']"
Mon Mar 05 23:27:42 +0000 2018,970803065048748032,"Garnier Nutrisse Nourishing Hair Color Creme, 415 Soft Mahogany Dark Brown (Raspberry Truffle) (Packaging May Vary)… https://t.co/pfnSY8IQUT",allhairstylist,"<a href=""https://postcron.com"" rel=""nofollow"">Postcron App</a>",[]
Mon Mar 05 23:27:39 +0000 2018,970803055246696448,#work #out #challenge #fit #fitness #fitforlife #exercise #health #healthy #healthandfitness… https://t.co/5ii2INoU6s,HaleyRaeCannell,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['work', 'out', 'challenge', 'fit', 'fitness', 'fitforlife', 'exercise', 'health', 'healthy', 'healthandfitness']"
Mon Mar 05 23:27:36 +0000 2018,970803044005896193,"https://t.co/i1S1mXrHjO
#health
#natural_health
#skincare
#healthcare",HappyLiving4us,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'natural_health', 'skincare', 'healthcare']"
Mon Mar 05 23:27:18 +0000 2018,970802966268489728,"Endurance For Cardiovascular #Health And Losing Weight

Endurance Training Benefits  So the question becomes, can w… https://t.co/EgxrG6OIWo",healthydave401,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",['Health']
Mon Mar 05 23:27:09 +0000 2018,970802928964526081,❤️ #health #mentalhealth #mentalhealthawarness #toptags  #mentalhealthmatters #mentalhealthday… https://t.co/0TMEljDZK6,DominguezPili,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","['health', 'mentalhealth', 'mentalhealthawarness', 'toptags', 'mentalhealthmatters', 'mentalhealthday']"
Mon Mar 05 23:27:03 +0000 2018,970802905484857344,"Melt in Your Mouth Butter Carrots and Potato Wedges are so delectable, a great treat, every now and again. #recipes… https://t.co/GokB7NZywk",Messy_CB,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",['recipes']
Mon Mar 05 23:27:00 +0000 2018,970802889634426880,"New Monday, new week, new goals. Let's get it! 💪

#mondaymotivation #fitness #gymlife #health #nolimits #gainsbro… https://t.co/NuPjKqPr2e",UAthletics2017,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['mondaymotivation', 'fitness', 'gymlife', 'health', 'nolimits', 'gainsbro']"
Mon Mar 05 23:26:56 +0000 2018,970802872597274624,"#health #beauty Buy Now: $46.22 LectroFan ASM-1007-WR, White Noise and Fan Sound Machine - White, NEW #N1… https://t.co/sjDiAFebgY",health_anbeauty,"<a href=""https://www.postpilot.net/twitterapps/autotweetpal/"" rel=""nofollow"">AutoTweetPal</a>","['health', 'beauty', 'N1']"
Mon Mar 05 23:26:42 +0000 2018,970802815059873793,"Total Taters plus Easy Asian Veggies :

https://t.co/32AmvsHjtn

I #LOVE YOU❤️
#TheChieftess #BeHUMAN #MOTHER… https://t.co/gYGgeO3khr",BeHUMAN_System,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['LOVE', 'TheChieftess', 'BeHUMAN', 'MOTHER']"
Mon Mar 05 23:26:11 +0000 2018,970802683358732289,"""Trump Administration Delays Decision on Scaling Back Medicaid in Arkansas"" https://t.co/1Uqb7CWQ7e @NYTimes #health",jweaving,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",['health']
Mon Mar 05 23:26:04 +0000 2018,970802654556315649,First WFPB Doc film ever to hit nation wide theatrical release! #plantbasednews picks up the story. #EatingYouAlive… https://t.co/gDxfo31REp,Indianrockvegan,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['plantbasednews', 'EatingYouAlive']"
Mon Mar 05 23:25:44 +0000 2018,970802571337191425,An anxiety disorder where there’s persistent fear of developing serious illness despite constant medical reassuranc… https://t.co/9tUz6aGdnu,_teelola,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[]
Mon Mar 05 23:25:29 +0000 2018,970802508040933376,How to Setup an Ergonomic Office Desk : Easy Steps https://t.co/pQl2yJR71E #ergonomics #health,Health_Form1,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","['ergonomics', 'health']"
Mon Mar 05 23:25:27 +0000 2018,970802499908243456,What if You Could Measure Your Blood Pressure at Least 12x/Day WITHOUT Using a BP Cuff!  Learn More  ==&gt;… https://t.co/nUSQr8Mk04,MarkAndDallas,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",[]
Mon Mar 05 23:25:07 +0000 2018,970802417506930689,"How's your kingdom looking? 
#fitness #health #nutrition https://t.co/7PYjj4ixG6",tomorrowsman,"<a href=""https://statusbrew.com"" rel=""nofollow"">Statusbrew</a>","['fitness', 'health', 'nutrition']"
Mon Mar 05 23:25:05 +0000 2018,970802410200367104,Are you a #smallbusinessowner struggling to find the right #health care solutions for your business? Block off an h… https://t.co/U0OKb84XoH,nashchamber,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['smallbusinessowner', 'health']"
Mon Mar 05 23:25:04 +0000 2018,970802402331975681,Hyaluronic Acid gives skin volume by holding 10x its weight in water #skincare #beauty #health https://t.co/aKykNflWbs,URSimplyRadiant,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['skincare', 'beauty', 'health']"
Mon Mar 05 23:25:04 +0000 2018,970802402331906048,Hyaluronic Acid gives skin volume by holding 10x its weight in water #skincare #beauty #health https://t.co/Ojw3zwY76e,simplyradiantb,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","['skincare', 'beauty', 'health']"
Mon Mar 05 23:25:01 +0000 2018,970802392026566656,MEDICLINIC BRINGS NEW TECHNOLOGY TO CSI COLLOBORATION https://t.co/mFwu03Q8uP via @ .@thenewspapersa… https://t.co/uyw0XVe9Z0,RoboSrgryInvest,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[]
Mon Mar 05 23:24:58 +0000 2018,970802380148170752,Great Workout for #Over50 Men &amp; Women! #menshealth #health https://t.co/qyuHqIHmxH #retireyourway https://t.co/XJpvT7nmI0,the50plusnetwrk,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","['Over50', 'menshealth', 'health', 'retireyourway']"
Mon Mar 05 23:24:41 +0000 2018,970802308077555712,5 WINNER #GIVEAWAY! Enter to #WIN @utzynaturals #Allurtica #Seasonal Support! Supports #Sinus and #Respiratory… https://t.co/6Za5ljmk0i,bears54fan,"<a href=""http://giveawaytools.com"" rel=""nofollow"">Giveaway Tools Confirmation</a>","['GIVEAWAY', 'WIN', 'Allurtica', 'Seasonal', 'Sinus', 'Respiratory']"
Mon Mar 05 23:24:34 +0000 2018,970802280395165696,"Spring Valley - M ... https://t.co/ymZQwiSrM6
#health #beauty #fitness #weightloss #workout #lifestyle #yoga https://t.co/PNgN28NDci",_HealthyCare,"<a href=""http://healthycaremarket.com/"" rel=""nofollow"">Health Care Market</a>","['health', 'beauty', 'fitness', 'weightloss', 'workout', 'lifestyle', 'yoga']"
Mon Mar 05 23:24:33 +0000 2018,970802273386422273,"#health #loseweight ""Trump Administration Delays Decision on Scaling Back Medicaid in Arkansas"" https://t.co/MOJ4uzCYV0",writerjobsworld,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['health', 'loseweight']"
