created_at,id,lang,text,user,source,hashtags,url
Sun Mar 04 07:14:08 +0000 2018,970195674141679616,en,"We all know the fact that the skin is the largest organ in our body. To begin with, everyone must know the momentou… https://t.co/3qzOmokHg7",healthdoctoriam,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[URL(URL=https://t.co/3qzOmokHg7, ExpandedURL=https://twitter.com/i/web/status/970195674141679616)]"
Sun Mar 04 07:13:59 +0000 2018,970195637072375811,en,RT @wef: Scientists have created a silicon beating heart https://t.co/pdXLgA7tIN #health https://t.co/1HUFtVhBfY,MAHAVIR111114,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",['health'],"[URL(URL=https://t.co/pdXLgA7tIN, ExpandedURL=http://wef.ch/2FNOi6b)]"
Sun Mar 04 07:13:22 +0000 2018,970195480671002624,ja,特に、ミナト式くわ青汁は、普通の青汁と比べても全然違います。 https://t.co/0oeG4upknG　#aojiru #青汁　#kenkou　#Health,minatosikikuwao,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","['aojiru', '青汁', 'kenkou', 'Health']","[URL(URL=https://t.co/0oeG4upknG, ExpandedURL=http://bit.ly/Pc6LgQ)]"
Sun Mar 04 07:13:01 +0000 2018,970195393790308352,en,"https://t.co/Q9URqQEiRK 2yrs&amp;10mths on my meat free journey, not easy but overtime and persistence my family&amp; I are thankful. #Health #Truth",2stepnaturally,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['Health', 'Truth']","[URL(URL=https://t.co/Q9URqQEiRK, ExpandedURL=https://youtu.be/yBKnG9Y0owQ)]"
Sun Mar 04 07:13:01 +0000 2018,970195393379225600,und,"#CREATIVITY #DIVERSITY #INCLUSION #PARTICIPATION
https://t.co/wMyqy5DKQV 
#depression #SuicidePrevention… https://t.co/4mdkJik4gq",MassCreativity,"<a href=""https://social.zoho.com"" rel=""nofollow"">ZohoTwitterApp</a>","['CREATIVITY', 'DIVERSITY', 'INCLUSION', 'PARTICIPATION', 'depression', 'SuicidePrevention']","[URL(URL=https://t.co/wMyqy5DKQV, ExpandedURL=http://bit.ly/2kJ2Dt9), URL(URL=https://t.co/4mdkJik4gq, ExpandedURL=https://twitter.com/i/web/status/970195393379225600)]"
Sun Mar 04 07:13:01 +0000 2018,970195393303674880,en,AUSSIE couples are struggling to balance work and family life and it is taking a devastating toll on their children… https://t.co/hBErhtOi1t,perera_mahendra,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",[],"[URL(URL=https://t.co/hBErhtOi1t, ExpandedURL=https://twitter.com/i/web/status/970195393303674880)]"
Sun Mar 04 07:12:41 +0000 2018,970195306628505600,en,#health #beauty Buy Now: $37.84 Grizzly 6in Bearhugger Nylon Training Belt - XXL https://t.co/j52nIPTW8e https://t.co/UpWvItyrc4,health_anbeauty,"<a href=""https://www.postpilot.net/twitterapps/autotweetpal/"" rel=""nofollow"">AutoTweetPal</a>","['health', 'beauty']","[URL(URL=https://t.co/j52nIPTW8e, ExpandedURL=https://www.health-andbeauty.com/Cholesterol-Testing-159875/grizzly-6in-bearhugger-nylon-training-belt-xxl/222847259146)]"
Sun Mar 04 07:12:34 +0000 2018,970195279889797120,en,RT @HealthRanger: Sugar is 8 times more addictive than cocaine. #sugar #health #addiction https://t.co/ebhkQ0CaIy,BarnSitmer00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['sugar', 'health', 'addiction']",[]
Sun Mar 04 07:12:22 +0000 2018,970195227603537920,en,#Safety #Recalls: Graco high chair recalled after falling over with #kids strapped in #toddlers #infants #health... https://t.co/a7pWhwP8se,BeautifulBDoula,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['Safety', 'Recalls', 'kids', 'toddlers', 'infants', 'health']","[URL(URL=https://t.co/a7pWhwP8se, ExpandedURL=https://fb.me/8hTgdFhE8)]"
Sun Mar 04 07:12:07 +0000 2018,970195164080803840,en,"Another reason to #exercise ! #heart #health Waist size bigger #HeartAttack risk in women, report says #lifestyle  https://t.co/he9z0Ovx3P",grazie1110,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['exercise', 'heart', 'health', 'HeartAttack', 'lifestyle']","[URL(URL=https://t.co/he9z0Ovx3P, ExpandedURL=http://www.bbc.co.uk/news/health-43225477)]"
Sun Mar 04 07:11:34 +0000 2018,970195025979166720,en,"RT @Fisher85M: Monitoring #health may soon be as simple as applying a temporary tattoo. {Video}

#IoT #innovation #wearables #Healthcare #m…",pedrojosegalvez,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","['health', 'IoT', 'innovation', 'wearables', 'Healthcare']",[]
Sun Mar 04 07:10:43 +0000 2018,970194813529280512,en,RT @wef: Psychologists think taking selfies all the time could be a sign of a mental illness https://t.co/MN3QHlahcR #health https://t.co/Q…,dhailstones,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",['health'],"[URL(URL=https://t.co/MN3QHlahcR, ExpandedURL=http://wef.ch/2FBHloR)]"
Sun Mar 04 07:10:38 +0000 2018,970194790884282368,en,Please RT #health #fitness How To Cleanse Your Coronary Arteries With Only 3 Ingredients https://t.co/r2w5hd9ojQ https://t.co/uZHHr7shgz,HealthStyLifee,"<a href=""https://laquesea.com"" rel=""nofollow"">HealthStyLifee</a>","['health', 'fitness']","[URL(URL=https://t.co/r2w5hd9ojQ, ExpandedURL=http://tinyurl.com/j4bh33u)]"
Sun Mar 04 07:10:35 +0000 2018,970194781484797952,en,"Please RT #health #fitness Friday FAQs: Camping food, pregnancy updates, freezer-friendly recipes, and more… https://t.co/qplr3JBE5Y",healthtrendds,"<a href=""https://www.healthtrendds.com"" rel=""nofollow"">healthtrendds</a>","['health', 'fitness']","[URL(URL=https://t.co/qplr3JBE5Y, ExpandedURL=https://twitter.com/i/web/status/970194781484797952)]"
Sun Mar 04 07:10:33 +0000 2018,970194772639010816,en,Please RT #health #fitness 4 Ways to Find Deep Health &amp;#038; Avoid Conformity https://t.co/sKiSQu0XD9,stayfitbefitt,"<a href=""https://www.stayfitbefitt.com"" rel=""nofollow"">stayfitbefitt</a>","['health', 'fitness']","[URL(URL=https://t.co/sKiSQu0XD9, ExpandedURL=http://tinyurl.com/yb4azodf)]"
Sun Mar 04 07:10:32 +0000 2018,970194768830615552,en,"Please RT #health #fitness The ""All or Nothing"" Approach Has Failed, Miserably. https://t.co/h1i17qnpBJ https://t.co/YHVD0o91d9",healthfitnessb4,"<a href=""https://www.healthfitnessb4.com"" rel=""nofollow"">healthfitnessb4</a>","['health', 'fitness']","[URL(URL=https://t.co/h1i17qnpBJ, ExpandedURL=http://bit.ly/2FlKg7m)]"
Sun Mar 04 07:10:30 +0000 2018,970194759665856512,en,"Retweeted Organic Live Food (@OrganicLiveFood):

#Health risks associated w #fluoride in #water n #fluoride in... https://t.co/q9YWmsXHzq",CaliLiliIndies,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","['Health', 'fluoride', 'water', 'fluoride']","[URL(URL=https://t.co/q9YWmsXHzq, ExpandedURL=https://fb.me/1MtzuUq5H)]"
Sun Mar 04 07:10:30 +0000 2018,970194759389274112,en,"Please RT #health #fitness If You Press This Point On Your Foot Before Bed, This Is What It Does To... https://t.co/z2jgNwMa87",healthyyfi,"<a href=""https://www.healthyyfi.com"" rel=""nofollow"">healthyyfi</a>","['health', 'fitness']","[URL(URL=https://t.co/z2jgNwMa87, ExpandedURL=http://tinyurl.com/z6mfdju)]"
Sun Mar 04 07:10:29 +0000 2018,970194754116968448,en,Please RT #health #fitness Hair Growth With The Help Of  Healthy Food https://t.co/iTpVnx58Xp https://t.co/23YxDUqY5f,feelhealthyy,"<a href=""https://www.feelhealthyy.com"" rel=""nofollow"">feelhealthyy</a>","['health', 'fitness']","[URL(URL=https://t.co/iTpVnx58Xp, ExpandedURL=http://bit.ly/2kBcoI0)]"
Sun Mar 04 07:10:27 +0000 2018,970194746030329858,en,Please RT #health #fitness Stop Telling Women to Embrace Their Flaws https://t.co/UpdfWQTU5X https://t.co/oS1tfxO0yo,HealthhFitnss,"<a href=""https://laquesea.com"" rel=""nofollow"">HealthhFitnss</a>","['health', 'fitness']","[URL(URL=https://t.co/UpdfWQTU5X, ExpandedURL=http://bit.ly/2knrp16)]"
Sun Mar 04 07:10:26 +0000 2018,970194742679019522,en,RT @OrganicLiveFood: #Health risks associated w #fluoride in #water n #fluoride in tap #water increases chance of bone #cancer https://t.co…,CaliLiliIndies,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['Health', 'fluoride', 'water', 'fluoride', 'water', 'cancer']",[]
Sun Mar 04 07:10:25 +0000 2018,970194736127627264,en,Please RT #health #fitness 3 science-backed tips that will help you finally remember everyone's name… https://t.co/5EA0KYqlO7,FitnesssAmazing,"<a href=""https://laquesea.com"" rel=""nofollow"">FitnesssAmazing</a>","['health', 'fitness']","[URL(URL=https://t.co/5EA0KYqlO7, ExpandedURL=https://twitter.com/i/web/status/970194736127627264)]"
Sun Mar 04 07:10:22 +0000 2018,970194726170349568,en,Please RT #health #fitness Breastfeeding Benefits For Mom And Baby https://t.co/LIsHTekROp https://t.co/rQYhAEd9uf,fitttLifee,"<a href=""https://laquesea.com"" rel=""nofollow"">fitttLifee</a>","['health', 'fitness']","[URL(URL=https://t.co/LIsHTekROp, ExpandedURL=http://bit.ly/2i7ryVY)]"
Sun Mar 04 07:10:20 +0000 2018,970194717597200384,en,Please RT #health #fitness Cilantro Can Remove 80% of Heavy Metals From The Body Within 42 Days. Here is...… https://t.co/QjxUo7xaxi,HealthhyLifee,"<a href=""https://laquesea.com"" rel=""nofollow"">HealthhyLifee</a>","['health', 'fitness']","[URL(URL=https://t.co/QjxUo7xaxi, ExpandedURL=https://twitter.com/i/web/status/970194717597200384)]"
Sun Mar 04 07:10:16 +0000 2018,970194701533024256,en,Please RT #health #fitness Southwestern Bowl with Green Chile Vinaigrette https://t.co/we1wXgAuWk https://t.co/Egs97PrHMg,thehealthinsigh,"<a href=""http://healthfitnesstrends.net"" rel=""nofollow"">tweets healthfitnesstrends.net</a>","['health', 'fitness']","[URL(URL=https://t.co/we1wXgAuWk, ExpandedURL=http://tinyurl.com/y7yf54kb)]"
Sun Mar 04 07:10:16 +0000 2018,970194700413161472,en,RT @MarkMauvais: Using #taichi for #meditation the benefits https://t.co/6mVOOjQJit.. #martialarts #kungfu… https://t.co/8lkPzfnwv1,SurreyTaiChi,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","['taichi', 'meditation', 'martialarts', 'kungfu']","[URL(URL=https://t.co/6mVOOjQJit, ExpandedURL=http://ift.tt/1CXdVxd), URL(URL=https://t.co/8lkPzfnwv1, ExpandedURL=https://twitter.com/i/web/status/970194700413161472)]"
Sun Mar 04 07:10:04 +0000 2018,970194648596611073,en,Please RT #health #fitness Cookie Dough Glow Pops https://t.co/3ohfFRrWnA https://t.co/pTlihvb183,_healthfitness4,"<a href=""http://healthfitnesstrends.net/"" rel=""nofollow"">_healthfitness4-segui</a>","['health', 'fitness']","[URL(URL=https://t.co/3ohfFRrWnA, ExpandedURL=http://bit.ly/2GYk4Nh)]"
Sun Mar 04 07:10:00 +0000 2018,970194633966981121,en,'A Day in the Life' of someone with mental #health difficulties https://t.co/dwRVTB2Rjj,GoodNews_Shared,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>",['health'],"[URL(URL=https://t.co/dwRVTB2Rjj, ExpandedURL=http://bit.ly/1DUHCPp)]"
Sun Mar 04 07:09:53 +0000 2018,970194603759603712,en,Good #Health Of The #Heart #Protects Against Alzheimer's Disease https://t.co/ewJbgwuNMY,rhapobic,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","['Health', 'Heart', 'Protects']","[URL(URL=https://t.co/ewJbgwuNMY, ExpandedURL=https://jynxbufo.wordpress.com/2017/03/22/good-health-of-the-heart-protects-against-alzheimers-disease-part-1-of-3/)]"
Sun Mar 04 07:09:42 +0000 2018,970194556061757440,en,RT @healthywithgod: Top 8 Food Allergies! #food #health https://t.co/B3jEqrcy8U,ayangrande,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['food', 'health']",[]
Sun Mar 04 07:09:23 +0000 2018,970194479188717571,en,"RT @Fisher85M: Monitoring #health may soon be as simple as applying a temporary tattoo. {Video}

#IoT #innovation #wearables #Healthcare #m…",CosmUnity,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","['health', 'IoT', 'innovation', 'wearables', 'Healthcare']",[]
Sun Mar 04 07:09:06 +0000 2018,970194407596097536,en,"CATEGORICAL IMPERATIVE: Become Who You Are -- The Real You
https://t.co/wMyqy5DKQV 
#creativity #depression… https://t.co/Q3mnyOUNeD",MassCreativity,"<a href=""https://social.zoho.com"" rel=""nofollow"">ZohoTwitterApp</a>","['creativity', 'depression']","[URL(URL=https://t.co/wMyqy5DKQV, ExpandedURL=http://bit.ly/2kJ2Dt9), URL(URL=https://t.co/Q3mnyOUNeD, ExpandedURL=https://twitter.com/i/web/status/970194407596097536)]"
Sun Mar 04 07:08:30 +0000 2018,970194256437678081,en,Independent Dad Happy with Isolated Rural Life but It Concerns #Family #MentalHealth #TipsforCaregivers… https://t.co/DE5wWm6rnh,mindingourelder,"<a href=""http://www.feedblitz.com/f/f.fbz?help/default#twitter"" rel=""nofollow"">FeedBlitz</a>","['Family', 'MentalHealth', 'TipsforCaregivers']","[URL(URL=https://t.co/DE5wWm6rnh, ExpandedURL=https://twitter.com/i/web/status/970194256437678081)]"
Sun Mar 04 07:08:24 +0000 2018,970194229724098560,en,@FitnessExplorer really great podcast with @drchatterjeeuk believe in everything you talked about. Movement is so s… https://t.co/ydYB0vpKNX,samthatcher1985,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"[URL(URL=https://t.co/ydYB0vpKNX, ExpandedURL=https://twitter.com/i/web/status/970194229724098560)]"
Sun Mar 04 07:08:19 +0000 2018,970194208945405952,en,RT @healthywithgod: Top 8 Food Allergies! #food #health https://t.co/B3jEqrcy8U,LindaLeeKing,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['food', 'health']",[]
Sun Mar 04 07:08:14 +0000 2018,970194188448002048,en,Got that Dirty 30 Extreme in today from #21DFX! #beachbody #health #fitness https://t.co/NU2oVniUlC,Apuremindnbody,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","['21DFX', 'beachbody', 'health', 'fitness']",[]
