created_at,id,lang,text,user,source,hashtags,url
Tue Feb 20 20:00:03 +0000 2018,966039767300411393,en,Insurers can gain insight into an individual’s #health analyzing the #data collected by #wearables https://t.co/XHdK7hXlNi,Softtek,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","[Hashtag(Text='health'), Hashtag(Text='data'), Hashtag(Text='wearables')]","[URL(URL=https://t.co/XHdK7hXlNi, ExpandedURL=https://hubs.ly/H09WbYJ0)]"
Tue Feb 20 20:00:02 +0000 2018,966039765572206592,en,"In South Sudan, mothers and their children are receiving the maternal, neonatal, and child health services they nee… https://t.co/ReNZUVa7lQ",RealMedicine,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[],"[URL(URL=https://t.co/ReNZUVa7lQ, ExpandedURL=https://twitter.com/i/web/status/966039765572206592)]"
Tue Feb 20 20:00:02 +0000 2018,966039765048086529,en,"Got Back Pain? You need this:
https://t.co/UTF00dA4lG

#backpain #backpainrelief #lowbackpain #painrelief… https://t.co/1ubtdCAh5L",Chuck__Thomas,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","[Hashtag(Text='backpain'), Hashtag(Text='backpainrelief'), Hashtag(Text='lowbackpain'), Hashtag(Text='painrelief')]","[URL(URL=https://t.co/UTF00dA4lG, ExpandedURL=https://buff.ly/2Gve7XL), URL(URL=https://t.co/1ubtdCAh5L, ExpandedURL=https://twitter.com/i/web/status/966039765048086529)]"
Tue Feb 20 20:00:01 +0000 2018,966039759289241600,en,First Do No Harm: #Healthcare #Rationing harms everyone! #Canada #health #Hippocratic #Oath,deldhanoa,"<a href=""http://www.dhanoa.net/twitb"" rel=""nofollow"">thetwitterapplicationb</a>","[Hashtag(Text='Healthcare'), Hashtag(Text='Rationing'), Hashtag(Text='Canada'), Hashtag(Text='health'), Hashtag(Text='Hippocratic'), Hashtag(Text='Oath')]",[]
Tue Feb 20 20:00:00 +0000 2018,966039755371638784,en,Did you know that by joining @TopCoachList you can boost your online presence and increase your #personaltraining c… https://t.co/enBsCTfR8l,TopCoachList,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",[Hashtag(Text='personaltraining')],"[URL(URL=https://t.co/enBsCTfR8l, ExpandedURL=https://twitter.com/i/web/status/966039755371638784)]"
Tue Feb 20 19:59:53 +0000 2018,966039724673597440,en,How to stop and eliminate the fungus from your feet? https://t.co/HZFkCJ72ly #Health #Salud https://t.co/TzAwJ2j4YD,SuperflacosUSA,"<a href=""https://octopusocial.com"" rel=""nofollow"">OctopuSocial Inc</a>","[Hashtag(Text='Health'), Hashtag(Text='Salud')]","[URL(URL=https://t.co/HZFkCJ72ly, ExpandedURL=http://bit.ly/1zIVwNH)]"
Tue Feb 20 19:59:43 +0000 2018,966039686207672320,en,Can you afford to live a healthier life? The answer might surprise you!  https://t.co/4FCjXAEFhD #health #healthy #healthcare,walkinlab,"<a href=""http://socialreport.com"" rel=""nofollow"">SocialReport.com</a>","[Hashtag(Text='health'), Hashtag(Text='healthy'), Hashtag(Text='healthcare')]","[URL(URL=https://t.co/4FCjXAEFhD, ExpandedURL=http://bit.ly/1SVf53B)]"
Tue Feb 20 19:59:36 +0000 2018,966039656729997313,en,RT @OsteopathicCC: Why should we stretch? #osteopathy #health #healthy #Wellbeing https://t.co/3w9T0hBpVK,bodywellosteo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[Hashtag(Text='osteopathy'), Hashtag(Text='health'), Hashtag(Text='healthy'), Hashtag(Text='Wellbeing')]","[URL(URL=https://t.co/3w9T0hBpVK, ExpandedURL=https://twitter.com/activeXbacks/status/964148995386994690)]"
Tue Feb 20 19:59:30 +0000 2018,966039628020101122,en,RT @HealingMB: The body Heals when we Sleep - 10 Health Benefits #sleep #healing #health #mindfulness #wellness https://t.co/qV3UYglnK9,WvuTrophy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[Hashtag(Text='sleep'), Hashtag(Text='healing'), Hashtag(Text='health'), Hashtag(Text='mindfulness'), Hashtag(Text='wellness')]",[]
Tue Feb 20 19:59:25 +0000 2018,966039609724538880,en,"Check out one of our older posts! Remember when you had time to hit the https://t.co/Rcxectim8y #health, #healthyliving, #detox, #nutrition",Health_Form1,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","[Hashtag(Text='health'), Hashtag(Text='healthyliving'), Hashtag(Text='detox'), Hashtag(Text='nutrition')]","[URL(URL=https://t.co/Rcxectim8y, ExpandedURL=https://wp.me/p7xIey-1h1)]"
